sample	h.001B	h.002B	h.004B	h.006B	h.009B	h.010B	h.015B	h.020B	v.003A	v.006A	v.008A	v.009A	v.010A	v.012B	v.013B	v.014B	v.018B	v.017B	v.012A	v.013A	v.a4_1	v.a5_1	v.a5_12	v.a6_1	v.a6_4	v.a6_6	v.a6_10	v.a7_1	v.a8_3	v.a8_6	v.a13_19	v.a13_22	v.a15_6	v.a17_4	h.b4_1	h.b5_12	h.b6_4	h.b6_10	h.b8_3	h.b8_6	h.b13_19	h.b13_22
V1047301	884	1	1	1	1011	838	1	1	6	1	1	1	1	1	1	1	1	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1484	10331	0	909
V1047411	315	1	1	0	265	584	1	1	27	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	569	3857	0	386
V1047515	0	0	0	0	0	0	0	3	0	14	0	10	116	0	0	0	651	67	4	0	0	464	60	0	0	192	0	21	0	0	3	2	0	385	0	0	0	0	0	0	0	0
V1047561	0	0	0	3	0	0	0	0	0	20	722	1098	379	317	0	1652	774	757	808	106	6	4	362	1607	6	99	0	180	2181	163	248	74	663	113	0	0	0	0	0	0	0	0
V1047567	0	0	0	0	0	0	0	0	0	255	93	0	143	43	0	0	415	179	16	20	2	0	44	4	49	37	0	225	21	65	51	20	4	267	0	0	0	0	0	0	0	0
V1047623	0	0	0	0	0	0	23	0	95	0	0	0	0	0	0	0	0	20	0	0	129	51	0	0	0	0	1	0	1	28	456	1	100	1	0	4	0	0	0	0	0	0
V1047627	0	0	0	0	0	0	28	0	387	0	0	0	0	0	0	0	0	0	0	0	9	1	0	1	0	0	1	0	1	10	3813	1	3	1	0	0	4	0	0	0	0	0
V1047630	0	0	0	0	0	0	33	2	410	12	0	0	0	0	0	0	0	30	0	0	1148	236	0	1	0	0	1	0	19	1350	13765	3	39	13	0	0	0	0	0	0	0	0
V1047632	0	5	4	0	0	2	120	3	214	0	0	0	0	0	0	9	0	12	5	8	2523	624	0	2	0	0	19	0	662	2202	5245	359	3080	167	0	10	0	0	0	0	0	0
V1047637	0	0	0	0	0	0	13	0	205	0	0	0	0	15	0	0	0	0	0	0	20	13	0	1	0	0	1	0	1	38	13291	1	69	1	0	0	0	0	0	0	0	0
V1047645	0	3	0	0	0	0	39	0	292	0	0	0	0	0	0	0	0	18	0	0	2094	1431	0	1	0	0	3	0	8	1627	14624	22	541	5	0	0	0	0	0	0	0	0
V1047667	0	0	0	0	0	0	15	0	333	0	0	0	0	0	0	0	0	0	0	0	33	48	0	1	0	1	1	0	1	180	1324	1	738	1	0	0	0	0	0	0	0	0
V1047668	0	0	2	0	0	0	62	0	62	0	42	63	228	76	0	157	163	308	0	99	2738	807	0	0	2	0	60	0	194	1913	1597	237	2587	139	0	0	0	0	0	0	0	0
V1047669	5	3	0	0	2	0	14	0	0	137	83	227	76	373	3	223	180	836	92	148	48	14	216	136	58	0	176	2	1690	106	21	1122	993	170	0	0	0	0	0	0	0	0
V1047876	0	5	3	3	0	0	0	3	0	2391	35	3573	160	206	0	375	29	247	1825	204	1545	33	3671	651	130	252	0	19	122	327	0	759	0	119	0	0	0	0	0	0	5	0
V1047878	0	0	0	0	0	0	0	0	0	597	11	643	84	81	0	51	12	92	461	83	178	5	871	170	31	129	0	2	15	118	0	186	0	54	0	0	0	0	0	0	0	0
V1047883	4	0	9	15	5	6	13	6	5	11354	70	16057	545	1254	3	1228	100	1190	8424	715	4462	145	25326	4137	1245	1736	4	276	658	3863	0	5188	3	1508	2	8	0	2	2	0	7	0
V1047884	0	0	0	0	0	0	0	0	0	561	15	678	58	31	0	63	13	80	390	64	248	8	869	155	19	78	0	6	13	60	0	168	0	19	0	0	0	0	0	0	0	0
V1047886	0	0	0	6	0	0	0	0	0	672	11	825	82	78	0	93	6	104	454	132	457	4	954	328	38	85	0	7	33	133	0	145	0	38	0	2	0	0	0	0	0	0
V1047892	0	0	0	0	0	0	0	0	0	569	0	655	65	28	0	65	15	112	244	86	172	8	881	80	17	35	0	1	8	121	0	290	0	9	0	0	0	0	0	0	0	0
V1047897	3	0	0	3	0	0	0	0	0	702	10	834	48	68	0	85	18	82	486	89	353	7	1866	239	39	123	0	3	44	106	0	183	0	33	0	0	0	0	0	0	0	0
V1047900	4	0	0	0	0	0	0	0	0	1022	41	2223	76	190	0	207	15	188	1193	261	985	18	1487	249	61	109	0	4	54	154	0	415	0	42	0	0	0	0	0	3	0	0
V1047901	2	0	0	0	0	0	2	2	0	268	11	415	26	28	0	44	6	30	224	50	585	4	201	120	16	36	0	3	28	87	0	251	0	15	0	0	0	0	0	0	0	0
V1047903	0	0	0	0	0	0	0	0	0	327	10	611	23	36	0	58	5	32	139	44	135	2	563	75	7	55	0	3	10	34	0	195	0	18	0	0	0	0	0	0	0	0
V1047927	0	0	0	0	0	0	0	0	0	37	0	86	0	26	194	0	0	82	0	26	2	12	21	104	6	45	3	29	279	3	207	1	4	17	0	2	0	0	0	0	0	0
V1047931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	1	1	1	10	1	1	157	60	11	1	91	1	1	1	0	0	1	0	0	0	0	0
V1047958	0	0	0	0	0	0	2	0	0	7	0	171	41	179	0	10	13	7	6	0	60	289	0	0	89	35	2	0	9	335	0	17	0	119	0	0	0	0	0	0	0	0
V1047961	0	0	0	0	0	0	0	0	0	842	1	181	2	1	0	287	1	11	131	34	12	0	820	89	73	0	0	0	5	113	0	691	0	0	0	0	0	0	0	0	0	0
V1047964	0	0	0	0	0	0	0	0	0	514	11	945	104	84	0	77	15	111	525	71	110	5	935	125	35	48	0	6	18	92	0	132	0	13	0	0	0	0	0	0	2	0
V1047965	0	0	0	0	0	0	0	0	0	566	6	495	31	42	0	54	9	65	287	48	286	0	640	141	17	57	0	5	15	54	0	173	0	28	0	0	0	0	0	0	0	0
V1047966	3	0	0	0	3	0	0	0	0	758	12	744	46	54	0	97	16	61	696	72	404	12	1678	189	39	143	0	7	46	147	0	310	0	41	0	0	0	0	0	0	0	0
V1047967	0	0	0	3	0	0	0	0	0	319	5	253	21	27	3	39	8	33	463	30	290	7	581	97	15	83	0	3	11	53	0	122	0	19	0	0	0	0	0	0	0	0
V1047968	0	0	0	0	0	0	0	0	0	453	9	824	46	67	0	79	5	50	381	66	345	0	731	212	28	47	0	5	23	90	0	97	0	10	0	0	0	0	0	0	0	0
V1047971	0	0	0	0	0	0	0	0	0	2457	24	2688	152	232	0	421	26	281	660	358	528	13	3013	315	76	282	0	14	119	61	0	412	0	61	0	0	0	0	0	0	2	0
V1047976	0	0	0	0	0	0	0	0	0	506	6	544	50	34	0	79	3	32	393	50	273	5	624	99	13	65	0	0	26	112	0	217	0	25	0	0	0	0	0	0	0	0
V1047977	0	0	0	0	0	0	0	0	0	915	16	1442	81	104	0	115	13	99	1279	90	1042	12	1433	178	61	80	0	7	42	280	0	245	0	21	0	0	0	0	0	0	0	0
V1047978	0	0	0	0	0	0	0	0	0	293	4	480	24	28	0	52	7	56	259	68	260	6	513	51	10	29	0	2	12	58	0	124	0	6	0	0	0	0	0	0	0	0
V1047979	3	0	0	0	3	0	0	3	4	3420	20	3502	129	189	0	343	27	240	1637	230	828	38	6095	276	79	347	0	12	103	271	0	471	0	64	0	2	0	0	0	0	2	0
V1047980	0	0	0	0	0	0	0	0	4	2430	28	3343	137	176	0	295	42	297	1462	235	660	18	2140	216	54	192	0	8	44	163	0	313	0	33	0	0	0	0	0	0	2	2
V1048075	0	0	0	0	0	0	0	0	20	0	0	0	0	262	0	150	0	811	165	0	203	0	32	0	15	21	3	2	0	1	51	504	0	3	0	0	0	0	0	0	0	0
V1048084	12	8	3	0	0	0	0	5	24	478	97	759	283	938	0	231	151	827	295	65	533	5	106	882	626	15	341	8	925	53	111	700	2	30	0	0	0	0	0	0	0	2
V1048100	17	39	0	0	0	0	3	0	0	0	9	74	0	0	79	0	4	262	3	0	5	0	399	2	92	0	0	0	4	540	88	63	0	0	0	0	0	0	0	0	0	0
V1048233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	37	0	0	0	1	82	19	1	1	1	34	47	4	46	0	1	11	0	4	0	0	0	0	0	0
V1048237	0	0	0	0	0	0	0	0	0	160	36	124	28	115	173	19	0	63	0	33	21	46	112	41	3	4	88	99	316	15	78	5	0	3	0	1	0	1	0	0	1	0
V1048471	0	0	0	0	0	0	0	0	0	62	79	103	0	62	172	0	0	30	0	0	11	124	113	89	1	37	15	31	83	4	74	1	1	8	0	3	0	0	0	0	0	0
V1048485	0	0	0	0	0	0	0	0	0	586	0	478	45	44	0	78	10	76	274	54	271	4	703	122	21	74	0	1	13	53	0	109	0	16	0	0	0	0	0	0	0	0
V1048487	0	0	0	3	0	0	0	0	0	615	0	991	61	65	0	120	13	59	543	80	294	3	1000	116	19	60	0	3	12	48	0	75	0	10	0	2	0	0	0	0	0	0
V1048488	0	0	0	0	0	0	5	0	0	3033	94	3512	299	325	0	494	47	493	2412	426	1240	12	7055	633	87	423	0	9	74	468	0	711	0	87	0	4	0	0	0	0	3	0
V1048491	3	0	3	0	0	0	0	0	0	2089	12	2040	93	93	0	182	16	263	785	218	864	21	4185	643	124	321	0	17	95	251	0	874	0	87	0	0	0	0	0	0	0	0
V1048493	3	0	0	0	0	0	2	0	0	367	6	625	33	30	0	65	0	82	248	74	296	2	1108	110	17	53	0	3	16	50	0	517	0	6	0	0	0	0	0	0	0	0
V1048494	0	0	0	0	0	0	0	0	0	787	45	1563	158	0	0	196	10	95	10	0	4	1	1752	220	5	1	0	1	0	130	4	409	14	4	0	0	0	0	0	0	0	0
V1048530	0	0	0	0	0	0	0	0	0	0	75	29	0	23	154	0	0	0	0	0	1	1	19	1	1	2	30	24	106	1	48	1	1	1	0	4	0	0	0	0	0	0
V1048533	0	0	0	0	0	0	0	0	0	23	0	79	0	43	106	0	0	0	0	0	2	7	43	28	1	3	18	21	252	1	11	0	2	2	0	2	0	0	0	0	0	0
V1048534	0	0	0	0	0	0	0	0	0	0	0	72	0	0	209	0	0	0	0	30	1	1	153	50	1	1	1	1	188	1	2	1	1	21	0	4	0	0	0	0	0	0
V1048671	29	62	3	0	0	0	0	0	0	0	11	146	0	0	85	0	3	399	19	0	6	0	391	3	106	0	3	0	3	468	99	117	0	0	0	3	0	0	0	0	0	0
V1048761	0	26	0	0	0	0	0	0	167	0	27	27	0	0	0	83	11	48	48	11	10	64	1	20	2	1	647	8	23	2	2	5	11	6	0	2	0	0	0	0	0	0
V1048768	0	4	0	0	0	0	0	0	28	0	0	0	0	0	0	20	0	0	0	0	1	45	1	2	1	1	264	1	1	1	1	1	2	1	0	0	0	0	0	0	0	0
V1048799	0	18	0	0	0	0	0	0	220	0	29	73	0	0	0	104	31	48	40	0	2	152	1	64	2	1	421	5	47	8	1	2	43	7	0	3	0	0	0	0	0	0
V1048803	68	79	0	0	0	0	0	0	0	0	17	383	0	0	123	0	7	597	52	0	7	0	1089	6	87	0	8	0	7	410	371	150	2	2	0	5	0	0	0	0	0	0
V1048870	30	21	7	5	5	5	7	9	20	176	96	2512	56	1132	10	137	281	1831	360	30	3653	145	115	305	539	408	206	25	1539	270	396	1514	2	106	0	0	3	0	0	2	0	0
V1048871	14	8	0	0	0	0	0	0	14	227	51	1743	21	634	9	168	304	1052	209	19	1480	55	52	82	259	181	60	4	660	71	92	1408	0	29	2	0	0	0	0	0	0	0
V1048891	0	0	0	0	0	0	0	0	0	0	0	80	36	17	109	0	0	22	0	0	4	20	35	4	2	2	179	80	6	1	10	2	1	10	0	3	0	0	0	0	0	0
V1048895	0	0	0	0	0	0	0	0	0	20	32	46	0	0	148	28	0	27	0	0	1	4	6	20	3	1	188	224	51	1	18	1	1	50	0	0	0	0	0	0	0	0
V1048900	0	0	0	0	0	0	0	0	0	37	0	62	21	25	303	21	0	0	0	31	1	4	607	6	17	32	1	2	65	1	1	1	12	74	0	1	0	0	2	0	0	0
V1048998	0	6	0	0	0	0	0	0	53	0	0	37	0	0	0	20	0	27	0	0	1	75	1	18	1	1	372	1	5	6	1	1	6	1	0	0	0	0	0	0	0	0
V1049010	0	112	0	0	0	0	0	0	1169	0	98	169	18	27	0	425	79	425	102	38	64	451	4	50	10	5	1695	89	51	115	12	31	66	61	0	12	0	0	0	0	0	0
V1049011	0	79	0	0	0	0	0	0	1307	0	112	146	18	46	0	546	77	331	134	43	56	283	3	46	5	3	1703	58	33	74	10	17	60	46	0	12	0	1	0	0	0	0
V1049012	0	110	8	0	0	0	0	0	1243	0	93	109	0	35	0	377	55	369	90	36	43	307	6	75	6	5	1816	86	56	117	18	44	73	58	0	11	0	0	0	0	0	0
V1049017	0	14	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	342	1	1	1	1	1	1	1	0	2	0	0	0	0	0	0
V1049028	0	3	0	0	0	0	3	0	45	129	77	618	52	397	10	150	75	1218	207	36	1771	9	138	38	101	128	65	3	263	46	144	158	1	51	0	0	0	0	0	0	0	0
V1049035	0	0	0	0	0	0	0	0	11	66	41	792	26	452	7	70	94	362	70	10	300	17	10	70	128	21	32	2	490	39	85	406	0	4	0	0	0	0	0	0	0	0
V1049051	0	62	0	0	0	0	0	0	1144	0	81	152	0	0	0	402	57	260	52	35	15	205	2	44	3	2	1482	21	67	41	2	13	34	26	0	10	0	0	0	0	0	0
V1049052	0	5	0	0	0	0	0	0	41	0	0	0	0	0	0	31	0	0	0	0	1	35	1	1	0	1	465	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
V1049060	0	4	0	0	0	0	0	0	30	0	0	0	0	0	0	17	0	0	0	0	1	37	1	2	1	1	340	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
V1049063	0	16	0	0	0	0	0	0	201	0	0	0	0	0	0	129	19	0	0	0	2	214	0	1	1	1	60	1	1	1	1	1	1	2	0	4	0	0	0	0	0	0
V1049083	0	3	0	0	0	0	0	0	0	38	48	427	16	323	0	56	170	323	167	14	763	4	2	52	162	231	7	5	17	35	19	53	0	22	0	0	0	0	0	0	0	0
V1049085	3	0	0	2	0	0	2	0	0	55	29	882	35	148	0	31	34	126	54	18	372	2	41	166	131	100	1	2	430	4	52	133	1	20	0	0	0	0	0	0	0	0
V1049092	9	12	6	4	3	3	0	0	20	238	131	3233	46	837	6	184	282	1262	351	24	2345	55	68	190	405	499	98	26	1136	142	264	915	1	67	2	0	0	0	0	0	0	0
V1049121	12	0	0	0	0	0	0	0	0	39	18	119	15	0	118	0	7	9	14	0	53	0	11	2	75	11	136	0	0	0	141	575	12	0	0	0	0	0	0	0	0	0
V1049131	5	0	0	0	0	0	0	0	0	29	26	144	6	0	104	0	0	15	23	0	76	0	15	2	77	5	224	0	0	0	70	344	8	0	0	0	0	0	0	0	0	0
V1049141	12	0	0	0	0	0	0	0	0	18	37	332	13	0	55	0	5	5	52	0	43	0	13	3	13	8	368	0	0	0	135	254	19	0	0	0	0	0	0	0	2	0
V1049217	0	0	0	0	0	0	0	0	0	19	181	269	131	258	668	0	20	80	33	39	24	139	379	104	12	44	548	65	698	105	193	5	18	138	0	6	0	0	0	0	0	0
V1049221	0	0	0	0	0	0	0	0	0	0	0	59	0	0	193	0	0	0	0	0	0	0	38	96	1	1	1	0	53	0	22	1	1	1	0	12	0	0	0	0	0	0
V1049298	3	5	0	0	0	3	0	0	0	33	33	691	25	171	6	51	19	473	125	9	812	11	27	95	118	173	6	4	272	25	61	142	0	12	0	0	0	0	0	0	0	0
V1049300	9	0	4	3	0	0	0	0	25	138	116	1924	57	755	10	134	657	1299	296	64	3018	22	36	449	808	257	50	15	1097	51	210	1225	2	23	0	0	0	0	0	0	0	0
V1049302	0	0	0	0	0	0	0	0	17	23	1	1298	3	8	0	3	33	327	10	3	0	10	0	41	29	196	0	0	267	47	62	437	0	0	0	0	0	0	0	0	0	0
V1049307	0	0	0	0	0	0	0	0	0	0	0	45	22	50	95	0	0	24	0	0	1	5	20	1	2	42	40	7	106	7	88	1	2	8	0	2	0	0	0	0	0	0
V1049327	0	0	0	0	0	0	0	0	0	0	495	17	20	0	0	0	272	18	24	0	1	1	1	10	3	1	0	3	449	0	1	4	0	151	0	0	0	0	0	0	0	0
V1049331	0	0	0	0	0	0	0	0	0	21	24	43	0	21	108	34	0	0	0	0	2	16	83	21	1	2	9	19	96	7	187	1	1	9	0	0	0	0	0	0	0	0
V1049359	0	3	0	0	0	0	34	0	314	0	0	0	0	0	0	0	0	24	0	0	177	34	0	0	0	0	3	0	26	772	13036	3	145	3	0	0	0	0	0	0	0	0
V1049360	0	0	0	0	0	0	11	0	117	0	0	15	0	0	0	0	0	0	0	0	7	4	0	1	0	0	1	0	1	22	7259	1	229	1	0	0	0	0	0	0	0	0
V1049365	0	0	0	0	0	2	14	0	111	8	0	0	0	0	0	0	0	11	0	0	111	213	0	0	0	0	9	0	11	417	6008	26	877	6	0	0	0	0	0	0	0	0
V1049367	0	0	0	0	0	0	21	0	355	0	0	0	0	0	0	0	0	48	0	0	11	21	0	1	0	0	1	0	1	130	20017	1	13	1	0	0	0	0	0	0	0	0
V1049382	0	2	0	0	0	0	3	0	103	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	45	1530	1	7	1	0	0	0	0	0	0	0	0
V1049383	0	0	0	0	0	2	29	0	215	0	0	0	0	0	0	0	0	23	0	0	419	189	0	0	0	0	6	0	3	438	9372	12	790	2	0	0	0	0	0	0	0	0
V1049393	0	6	0	0	0	4	17	0	523	0	0	0	0	0	0	0	0	68	0	0	2	17	0	1	0	0	6	0	125	758	1318	110	160	36	0	0	3	0	0	0	0	0
V1049425	5	3	0	0	0	0	0	0	18	40	29	428	21	305	0	40	70	365	62	20	485	4	10	30	78	56	46	5	351	41	105	151	0	7	0	0	0	0	0	0	0	0
V1049437	0	0	0	0	0	0	0	0	0	342	17	977	9	275	0	23	57	171	56	0	435	16	0	130	138	79	0	7	338	21	0	446	0	0	0	0	0	0	0	0	0	0
V1049442	0	0	0	0	0	0	112	0	593	0	0	14	14	0	0	0	0	42	13	0	1981	163	0	1	0	0	74	0	660	3739	28360	121	1816	77	0	0	0	0	0	0	0	0
V1049443	6	17	0	0	5	0	279	6	2251	18	0	0	0	0	0	0	32	0	0	0	4197	8379	1	1	0	1	2154	0	85	21672	2733	7	28406	172	0	8	5	0	0	0	0	2
V1049446	0	3	0	0	0	0	41	0	201	0	0	14	0	0	0	0	0	0	0	0	234	92	0	0	0	0	1	0	8	174	19945	7	32	2	0	0	0	0	0	0	0	0
V1049448	0	0	0	0	0	0	23	0	119	0	0	0	0	0	0	0	0	20	0	0	11	2	0	1	0	0	1	0	1	7	3809	1	5	1	0	0	0	0	4	0	0	0
V1049453	0	0	0	0	0	0	33	0	343	0	0	0	39	0	0	0	0	0	0	0	36	26	0	1	0	0	1	0	1	63	3411	4	1040	1	0	0	5	0	0	0	0	0
V1049455	10	14	0	0	4	5	288	5	1918	0	11	0	11	9	0	0	0	16	17	9	14772	6352	0	46	1	4	6168	1	309	57373	9016	92	16728	1109	0	35	0	0	0	2	0	4
V1049457	11	63	6	7	4	10	1312	7	7700	5	6	37	8	9	5	0	5	39	17	0	7258	7359	0	80	1	39	6798	0	927	26494	4014	157	1571	2347	0	22	3	0	0	3	0	0
V1049505	3	0	0	0	0	0	13	0	151	0	0	0	0	0	0	0	0	0	0	0	153	124	0	1	0	0	1	0	2	67	9725	1	328	1	0	0	0	0	0	0	0	0
V1049506	0	0	0	0	0	0	7	2	74	0	0	0	0	0	0	0	0	0	0	0	4	99	0	1	0	0	1	0	1	75	4865	1	6	1	0	0	0	0	0	0	0	0
V1049508	0	0	0	0	0	0	21	0	514	0	0	0	0	0	0	0	0	47	0	0	1470	1708	0	1	0	1	1	0	2	1870	11883	78	283	1	0	0	0	0	0	0	0	0
V1049550	0	27	0	0	0	0	0	0	205	0	0	32	0	0	0	64	0	62	17	0	2	27	1	1	1	1	354	1	1	18	1	1	3	3	0	6	0	0	0	0	0	0
V1049586	4	0	0	0	4	0	0	0	0	139	301	313	378	123	0	256	178	210	311	17	17	63	232	175	22	35	0	51	200	484	66	69	56	207	0	0	0	0	0	0	0	2
V1049602	0	0	0	0	0	0	0	0	0	0	125	235	286	94	0	298	266	150	196	54	1	6	96	272	16	12	0	36	128	86	116	52	92	76	0	0	0	0	0	0	0	0
V1049604	0	5	0	0	0	0	22	0	163	0	0	0	0	0	0	0	0	0	0	0	8	11	0	1	0	0	1	0	1	63	2063	3	195	1	0	0	4	0	0	0	0	0
V1049605	0	0	0	0	0	2	11	0	115	0	0	10	0	0	0	0	0	0	0	0	34	77	0	0	0	0	2	0	1	68	3427	1	25	1	0	0	0	0	0	0	0	0
V1049607	0	5	0	0	0	0	56	0	379	0	0	0	0	0	0	0	0	0	0	0	356	46	0	1	0	0	1	0	2	11	8256	5	471	1	0	4	0	0	0	0	0	0
V1049608	0	3	0	0	0	0	28	0	25	0	0	0	0	4	0	3	0	6	0	4	163	9	0	0	0	0	0	0	21	88	1160	14	138	15	0	0	0	0	0	0	0	0
V1049609	0	0	0	0	0	0	27	0	115	6	0	8	0	0	0	10	0	25	0	0	1538	574	0	0	0	0	7	0	89	778	10745	243	1137	39	0	0	0	0	0	0	0	0
V1049610	4	4	0	0	3	0	121	0	390	0	0	0	0	0	0	0	0	22	0	0	1395	772	0	1	0	0	4	0	165	581	23194	191	1177	14	0	0	0	0	0	0	0	0
V1049612	0	5	0	0	0	4	102	0	271	0	0	15	0	0	0	11	0	41	0	0	975	823	0	2	0	1	8	0	75	1804	7289	237	2307	44	0	0	17	0	0	0	0	0
V1049613	0	5	0	0	0	0	62	0	1075	0	0	44	0	0	0	0	0	0	0	0	116	1126	1	1	0	1	55	0	1	14335	779	1	12148	2	0	3	0	0	0	0	0	0
V1049615	0	0	0	0	0	0	35	0	175	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	4911	1	11	1	0	2	0	0	0	0	1	0
V1049616	0	3	0	0	0	0	41	3	474	0	0	0	0	0	0	0	0	24	0	0	851	829	0	1	0	1	7	0	13	1618	14327	25	1992	3	0	0	0	0	0	0	0	0
V1049617	0	3	0	3	0	0	92	0	185	0	0	0	41	6	0	7	0	20	0	0	727	907	0	0	0	1	20	0	112	1291	1925	242	1939	25	0	0	9	0	0	0	0	0
V1049621	0	0	0	0	0	0	32	0	286	0	0	0	0	0	0	0	0	0	0	0	76	5	0	1	0	0	1	0	1	6	18875	2	35	1	0	0	0	0	0	0	1	0
V1049706	0	5	0	0	0	0	45	0	249	0	0	0	0	0	0	0	0	0	0	0	73	28	0	1	0	0	1	0	1	124	5775	1	66	1	0	0	7	0	0	0	0	0
V1049709	0	0	0	3	0	0	29	0	314	0	0	0	0	0	0	0	0	26	0	0	325	1108	0	1	0	0	2	0	2	833	15788	4	662	2	0	0	0	0	0	0	0	0
V1049712	0	0	0	0	0	0	17	0	120	0	0	0	8	0	0	0	0	0	0	0	64	23	0	0	0	1	1	0	1	353	60812	25	28	1	0	0	0	0	0	0	0	0
V1049713	0	7	0	0	0	0	27	0	291	0	0	0	0	0	0	0	0	0	0	0	11	43	0	1	0	0	1	0	1	196	2422	2	119	1	0	0	5	0	0	0	0	0
V1049714	0	0	0	0	0	0	42	0	321	0	0	0	0	0	0	0	0	32	0	0	103	54	0	1	0	0	1	0	1	95	5012	4	89	1	0	0	7	0	0	0	0	0
V1049715	0	2	0	0	0	0	11	0	159	0	0	0	0	0	0	0	0	0	0	0	55	7	0	1	0	0	1	0	3	89	6152	1	325	1	0	0	0	0	0	0	0	0
V1049716	0	6	0	0	0	0	33	0	340	0	0	0	0	0	0	0	0	0	0	0	222	7	0	1	0	0	1	0	2	170	11133	14	896	1	0	0	0	0	0	0	0	0
V1049827	2	2	0	0	3	0	0	0	0	693	33	316	380	198	0	487	69	327	278	33	1245	9	49	78	48	52	97	3	560	20	89	342	0	18	0	0	0	0	0	0	0	0
V1049846	0	38	0	0	0	0	0	0	181	0	18	25	0	0	0	120	0	75	38	30	12	85	2	15	2	1	418	22	17	30	1	10	12	9	0	5	0	0	0	0	0	0
V1049848	0	22	0	0	0	0	0	0	114	0	0	0	0	0	0	52	0	51	0	0	1	15	1	1	1	1	313	1	1	1	1	1	1	1	0	5	0	0	0	0	0	0
V1049897	0	0	0	0	0	0	0	0	0	14	0	38	101	531	0	485	0	0	0	63	6	2	580	194	1	74	1	0	1	1	0	3	0	0	0	0	0	1	0	0	1	0
V1049909	0	336	0	0	0	0	0	0	645	0	39	29	0	11	9	60	12	86	57	11	9	88	6	9	11	2	868	16	11	957	2	1	21	27	0	20	0	0	0	0	0	0
V1049916	0	19	0	0	0	0	0	0	129	0	15	0	0	0	0	61	0	32	14	0	4	21	1	1	1	1	338	2	5	3	1	1	2	1	0	3	0	0	0	0	0	0
V1049919	0	5	0	0	0	0	0	0	31	0	0	0	0	0	0	23	0	0	0	0	1	9	0	8	1	1	265	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
V1049924	0	30	0	0	0	0	0	0	149	0	0	16	0	0	0	34	14	34	0	0	2	15	1	3	1	1	269	2	6	12	1	1	6	3	0	5	0	0	0	0	0	0
V1049949	0	28	0	0	0	0	0	0	213	0	15	33	0	0	0	56	10	46	15	10	4	31	1	7	2	1	368	8	11	19	2	1	15	5	0	4	0	0	0	0	0	0
V1049950	0	30	0	0	0	0	0	0	540	0	47	60	0	22	0	107	32	117	64	13	14	121	1	13	2	3	840	21	24	49	4	2	58	19	0	4	0	0	0	0	0	0
V1049952	0	17	0	0	0	0	0	0	227	0	0	34	0	0	0	67	18	84	0	0	5	49	1	2	1	1	598	2	3	5	1	1	6	2	0	3	0	0	0	0	0	0
V1049953	0	32	0	0	0	0	0	0	366	0	37	84	0	0	0	111	57	83	24	0	6	107	1	14	1	1	762	7	12	17	2	2	27	7	0	4	0	0	0	0	0	0
V1049954	0	13	0	0	0	0	0	0	89	0	0	0	0	0	0	37	0	38	0	0	1	23	1	1	1	0	269	1	1	2	1	1	4	1	0	2	0	0	0	0	0	0
V1049956	0	0	0	0	0	0	0	0	0	32	11	8	0	7	0	103	1261	8	64	24	6	0	91	28	16	0	1	275	4	470	0	32	253	180	0	0	0	0	0	0	0	0
V1049959	4	0	0	0	0	0	426	0	201	32	4	11	49	10	0	24	10	15	4	12	276	196	0	2	0	0	20	0	61	187	717	87	433	23	0	0	0	0	0	0	0	0
V1049960	4	0	0	0	0	0	46	0	312	0	0	0	0	0	0	22	15	19	0	0	3704	1219	0	1	0	1	4	0	51	2262	9976	197	10344	7	0	0	0	0	0	0	0	0
V1049963	0	0	0	0	0	0	19	0	316	0	0	0	0	0	0	0	0	28	0	0	1	1	0	1	0	0	1	0	204	1	9410	1	3790	1	0	0	0	0	0	0	0	0
V1049964	0	3	0	0	0	0	9	0	209	0	0	0	0	0	0	0	0	24	0	0	48	95	0	1	0	0	2	0	30	498	9118	20	254	1	0	0	0	0	0	0	0	0
V1049965	0	2	0	0	0	2	13	0	259	0	0	0	0	0	0	0	0	0	0	0	162	247	0	0	0	0	8	0	6	356	10033	6	266	1	0	0	0	0	0	0	0	0
V1049966	4	6	3	3	3	0	140	0	236	6	0	0	0	0	4	0	3	5	5	0	1097	1333	0	3	0	0	162	0	267	1567	5652	338	914	141	0	0	0	0	0	0	0	0
V1049967	0	8	5	4	0	3	156	0	619	0	0	0	0	0	0	0	0	32	0	0	4155	1322	0	1	0	0	91	0	240	3274	18841	228	2476	102	0	0	22	0	0	0	0	0
V1049971	0	4	0	0	0	0	10	0	296	0	0	0	15	0	0	0	0	23	0	0	228	137	0	1	0	0	3	0	48	1441	6009	34	1292	17	0	0	0	0	0	0	0	0
