sample	h.001B	h.002B	h.004B	h.006B	h.009B	h.010B	h.015B	h.020B	v.003A	v.006A	v.008A	v.009A	v.010A	v.012B	v.013B	v.014B	v.018B	v.017B	v.012A	v.013A	v.a4_1	v.a5_1	v.a5_12	v.a6_1	v.a6_4	v.a6_6	v.a6_10	v.a7_1	v.a8_3	v.a8_6	v.a13_19	v.a13_22	v.a15_6	v.a17_4	h.b4_1	h.b5_12	h.b6_4	h.b6_10	h.b8_3	h.b8_6	h.b13_19	h.b13_22
V1237381	0	13	6	0	0	0	0	0	2109	0	165	45	560	179	0	72	1163	1092	31	119	106	550	21	31	50	120	284	163	4	30	0	82	1156	155	0	7	0	0	0	0	0	0
V1237382	4	0	0	0	0	0	0	0	0	10	944	15	13	19	0	35	41	46	16	10	3	229	0	15	1	0	127	4	16	34	142	2	429	4	0	0	0	0	0	0	0	0
V1237384	5	8	0	0	8	3	14	0	5654	7	1968	47	1315	882	4	189	1623	2021	90	398	687	2235	90	158	92	6	2029	328	6	175	69	1579	4325	253	0	11	0	0	2	0	0	3
V1237385	0	0	0	0	0	0	0	0	46	18	23	30	11	0	101	67	43	53	18	31	196	7	0	0	36	42	16	19	16	0	39	21	4	22	0	0	0	0	0	0	0	0
V1237387	0	6	0	0	0	0	0	0	854	0	184	0	135	116	0	0	101	195	28	81	30	250	4	10	14	0	104	48	0	2	2	29	188	31	0	5	0	1	1	0	0	0
V1237393	0	5	0	0	0	0	0	0	1892	50	202	839	192	131	0	50	558	720	246	108	151	451	37	37	140	21	327	70	3	71	8	73	996	530	0	3	0	0	0	0	0	0
V1237396	0	9	0	4	0	0	0	0	368	0	28	0	154	147	0	0	142	286	15	96	42	50	5	16	11	0	39	59	0	4	0	18	695	28	0	3	0	0	0	0	0	0
V1237403	8	29	4	9	7	0	13	11	6724	124	3481	911	2031	2485	1	1159	7258	12578	688	123	697	1058	482	498	703	656	3231	2404	92	1564	366	1194	3630	2513	0	40	0	0	0	0	2	3
V1237406	1	1	13	336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	26	638	0	0	0	0
V1237416	2	0	0	0	0	0	3	0	216	101	330	175	87	0	391	256	203	341	128	132	1383	4	2	30	371	221	74	98	65	0	96	99	2	162	0	0	0	0	0	0	0	0
V1237421	3	0	3	0	0	0	0	0	268	0	888	0	33	39	0	0	62	128	27	0	93	196	1	6	34	0	117	186	0	1	32	2	613	4	0	0	0	0	0	0	0	0
V1237423	6	4	0	0	0	0	0	0	3233	0	229	7	176	625	0	16	383	788	50	206	79	446	21	29	78	0	365	216	0	28	0	134	609	270	0	6	0	0	2	0	0	0
V1237424	6	46	0	0	0	0	5	5	2800	11	217	12	1154	1581	0	7	2334	2345	29	78	315	1215	52	46	583	0	772	1751	2	51	0	1252	1280	1527	0	8	0	0	0	0	0	3
V1237429	0	0	0	0	0	0	0	0	758	0	83	0	184	217	0	0	369	566	32	13	106	57	6	13	37	0	58	133	0	9	0	39	311	100	0	2	0	0	0	0	0	0
V1237432	6	11	0	3	0	3	3	0	5932	3	767	49	914	1176	0	104	1879	2053	294	644	468	1767	77	111	253	6	1895	1005	12	156	0	691	3730	733	0	5	0	0	2	0	0	0
V1237436	0	0	0	5	0	0	0	0	2222	0	174	122	42	87	0	13	85	39	38	0	54	255	10	54	27	74	119	155	0	19	0	27	751	26	0	3	0	0	0	0	0	0
V1237442	8	4	0	0	0	0	0	0	1968	0	98	16	477	246	3	0	458	654	20	177	166	702	16	36	105	0	509	298	0	26	0	199	820	157	0	2	0	0	0	0	0	0
V1237446	0	0	0	0	0	0	0	0	1644	0	738	7	103	79	0	7	34	77	53	20	49	329	14	37	0	3	170	115	2	14	20	13	655	15	0	2	0	0	0	0	0	0
V1237459	0	3	0	0	3	0	0	0	250	71	5	9	9	0	1939	269	296	2	16	183	2802	0	0	76	32	0	0	33	109	0	13	32	21	105	2	0	0	0	0	0	0	0
V1237460	0	0	0	0	0	0	0	0	779	0	166	0	42	35	0	22	62	89	8	0	27	244	3	2	3	1	82	44	0	9	0	68	4	41	0	3	0	0	0	0	0	0
V1237461	0	0	0	0	0	0	0	0	695	0	777	22	0	0	0	0	0	0	15	0	15	2	1	3	0	0	1	12	0	1	0	0	478	0	0	2	0	0	0	0	0	0
V1237464	3	0	0	0	0	0	0	0	32	20	208	137	175	0	26	45	98	844	16	463	458	57	17	8	809	65	12	3	8	0	67	395	4	11	0	0	0	0	0	0	0	0
V1237467	0	0	0	0	0	0	0	0	1441	0	85	26	70	72	0	0	55	40	3	14	36	138	18	14	5	0	0	19	0	17	0	7	238	44	0	4	0	0	0	0	0	0
V1237471	0	0	0	0	0	0	0	0	806	0	349	9	54	99	0	0	169	163	40	0	23	190	3	5	14	0	85	58	0	6	6	8	225	74	0	3	0	0	0	0	0	0
V1237472	0	0	0	0	0	0	0	5	856	0	47	6	74	92	0	0	141	198	6	16	52	162	10	12	25	0	111	62	0	12	0	24	201	48	0	4	0	0	0	0	0	0
V1237481	9	9	7	4	5	4	11	7	5904	5	881	20	137	327	0	251	265	393	16	0	311	2280	65	83	97	15	1149	514	2	93	18	282	2969	87	0	8	0	0	0	0	0	2
V1237482	3	5	0	4	0	0	0	0	1235	10	108	145	53	185	0	27	2865	3484	44	27	72	361	25	144	517	12	366	1053	7	31	0	554	1039	33	0	5	0	0	0	0	0	0
V1237483	0	0	0	0	0	0	5	0	931	0	450	0	120	60	0	12	142	166	8	14	42	634	5	11	8	0	376	57	0	12	19	24	610	76	0	2	0	0	0	0	0	0
V1237490	0	0	0	0	0	0	0	0	846	0	72	0	70	80	0	0	124	149	10	24	27	85	3	3	4	0	100	9	0	4	0	7	213	6	0	4	0	0	0	0	0	0
V1237504	0	0	0	0	0	0	0	0	663	0	106	0	117	112	0	50	265	493	0	0	48	198	2	7	53	0	51	14	0	4	0	14	288	24	0	2	0	0	0	0	0	0
V1237505	5	2	0	4	0	3	4	2	754	381	1310	745	293	0	1113	1251	601	1372	624	393	2987	147	41	445	974	666	1028	895	1079	0	920	604	323	616	0	0	0	0	0	0	0	0
V1237512	2	0	0	0	3	0	0	0	311	89	414	197	70	0	469	293	241	479	109	78	1311	19	8	27	347	104	140	65	68	0	117	91	13	262	0	0	0	0	0	0	0	0
V1237513	0	0	0	0	0	0	0	0	402	0	38	19	133	97	0	33	183	182	0	0	44	56	2	10	52	2	25	45	0	1	0	46	370	36	0	0	0	0	0	0	0	0
V1237514	7	4	5	4	5	4	8	5	356	93	613	286	112	5	730	345	267	523	136	136	1420	90	28	207	816	446	461	343	320	0	301	249	131	473	0	0	0	0	0	0	0	0
V1237519	0	0	0	0	0	0	0	0	762	0	89	7	14	20	0	0	14	24	9	4	38	104	7	4	0	0	76	2	0	4	0	2	145	4	0	2	0	0	0	0	0	0
V1237531	0	4	0	4	0	0	0	0	1912	13	866	23	376	527	0	23	781	1197	44	118	65	510	3	22	89	30	351	344	2	29	9	215	1183	244	0	4	0	0	0	0	2	0
V1237538	0	6	0	0	0	0	0	0	1055	0	325	7	131	91	0	0	563	130	91	158	51	424	5	10	42	0	75	69	0	29	13	40	353	63	0	5	0	0	0	0	0	0
V1237539	0	0	0	0	0	0	0	0	1090	0	107	12	27	40	0	0	7	20	5	75	36	161	9	17	0	0	106	2	0	7	0	12	172	3	0	3	0	0	0	0	0	0
V1237553	4	0	0	0	7	0	0	0	1012	0	3153	29	470	358	0	9	961	1749	77	173	198	675	17	59	274	0	619	766	0	12	74	559	951	621	0	2	0	0	0	0	0	2
V1237561	0	3	2	0	0	0	0	0	0	3	2473	12	16	2	0	25	9	9	3	4	0	544	0	43	6	0	367	55	0	92	157	0	893	0	0	0	0	0	0	0	0	0
V1237574	5	1352	787	1268	35	0	7	0	306	4	481	171	0	126	8	103	13	49	144	152	4	21	16	0	2	27	25	0	110	305	21	0	90	0	103	217	650	554	46	2	4152	461
V1237575	0	0	0	0	0	0	0	0	801	7	94	71	11	94	0	0	410	475	22	23	110	209	11	8	0	0	117	65	0	10	12	228	373	200	0	0	0	0	0	0	0	0
V1237577	0	0	0	0	0	0	0	0	9	11	66	24	10	0	156	16	39	30	13	14	198	0	0	23	25	86	18	0	18	0	38	10	4	23	0	0	0	0	0	0	0	0
V1237585	0	0	0	0	0	0	0	0	40	22	89	54	13	0	105	73	50	93	35	16	177	0	8	9	71	39	11	53	21	0	41	18	0	34	0	0	0	0	0	0	0	0
V1237590	0	0	0	0	0	0	0	0	57	62	235	159	33	5	119	219	196	199	107	61	382	4	10	57	105	135	6	123	22	0	18	36	28	106	0	0	0	0	0	0	0	0
V1237592	0	0	0	0	0	0	0	0	874	0	82	21	122	76	0	0	176	184	18	114	34	122	7	6	16	0	127	31	0	8	0	41	231	45	0	3	0	0	0	0	0	0
V1237603	6	13	0	3	3	0	5	3	3995	0	852	8	672	331	0	0	667	645	41	205	189	684	40	61	219	0	878	209	0	63	41	464	1730	690	0	11	0	0	0	0	0	0
V1237604	0	0	0	0	0	0	0	0	161	0	515	0	122	36	0	0	158	121	0	25	9	83	1	4	8	0	47	0	0	2	79	136	192	110	0	0	0	0	0	0	0	0
V1237615	0	0	0	0	0	0	0	0	253	0	747	0	193	168	0	0	329	487	35	74	48	173	5	2	62	0	95	181	0	2	23	221	458	156	0	0	0	0	0	0	0	0
V1237616	0	0	0	0	0	0	0	0	53	14	66	25	35	0	222	89	51	213	87	68	60	2	8	29	90	168	118	41	85	0	4	26	11	186	0	0	0	0	0	0	0	0
V1237619	0	4	0	0	0	0	0	0	2174	0	196	15	221	358	0	12	617	425	61	9	39	197	3	13	37	2	211	78	0	6	2	45	691	165	0	3	0	0	2	0	0	3
V1237629	0	2	2	1	0	0	6	1	0	107	9	36	18289	0	1	1	1	1	502	1	0	0	0	4484	2768	2769	22	0	0	0	0	3791	0	1132	0	0	0	3	0	0	0	0
V1237633	0	4	0	0	0	0	0	4	1752	0	1277	11	176	212	0	7	391	463	11	62	52	431	16	38	25	0	260	50	0	14	33	101	678	38	0	7	0	0	2	0	0	0
V1237635	5	1	2	4	2	2	4	2	1	5264	4	1075	4698	0	1	1	1	1	12003	1	0	0	0	13218	2899	973	62	25	68	0	0	17813	0	1989	0	0	0	0	0	0	0	0
V1237636	6	4	3	2	2	2	3	2	468	123	888	433	173	3	695	591	358	438	252	244	907	48	45	152	399	591	423	475	469	0	167	315	130	833	0	0	0	0	0	0	0	0
V1237638	0	0	19	34	2	0	0	4	67	51	210	75	34	2	433	163	132	239	55	44	353	13	6	30	129	88	56	87	51	0	40	69	26	67	0	0	0	35	0	0	0	0
V1237641	9	0	0	5	8	0	5	0	1151	3	132	0	4	2	0	23	5	14	6	4	107	330	28	33	0	0	301	4	0	34	0	9	478	11	0	4	0	0	0	0	0	0
V1237649	0	37	0	5	2	0	5	4	3854	3	306	8	1500	1835	2	3	5018	6688	5	35	572	1521	124	140	877	0	1562	2295	0	146	0	1881	2437	1943	0	13	0	3	0	0	0	0
V1237653	3	2	0	0	0	0	0	0	192	124	397	150	77	0	498	323	274	440	98	157	1356	33	4	54	218	190	178	108	70	0	121	110	47	104	0	0	0	0	0	0	0	0
V1237656	0	0	0	0	0	0	0	0	81	0	160	0	221	151	0	5	83	247	9	54	40	219	7	10	10	0	75	49	0	2	5	22	169	49	0	0	0	0	0	0	0	0
V1237657	0	5	0	0	0	0	0	0	845	0	156	14	126	128	0	0	209	248	0	0	24	189	3	2	5	0	121	240	0	2	1	7	343	23	0	3	0	0	0	0	0	0
V1237669	1	36	34	2	0	1	2	1	60	1	5	12	2	3	0	38	1	3	1	1	0	0	0	17	0	0	16	0	274	23	10	29	0	0	47	116	68	49	438	0	653	4087
V1237676	0	0	0	0	0	0	0	0	2316	4	188	11	197	226	0	0	362	499	48	450	50	453	8	14	28	18	195	118	0	18	0	77	404	33	0	5	0	2	0	0	0	0
